EventType,Date,StartTime,EndTime,Duration,Borough,Category,ZipCode(s)
Rigging Permit,12/7/2022,17:30:00,22:30:00,5:00:00,Manhattan,Student,10003
Shooting Permit,12/7/2022,6:00:00,18:00:00,12:00:00,Manhattan,Still Photography,"10004, 10005, 10007, 10013, 10038, 10279"
Shooting Permit,12/7/2022,6:00:00,23:00:00,17:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/7/2022,7:00:00,21:00:00,14:00:00,Manhattan,Episodic Television series,"10017, 10022, 10036, 10171, 10172, 10173"
Shooting Permit,12/7/2022,7:00:00,23:00:00,16:00:00,Queens,Episodic Television series,11101
Shooting Permit,12/7/2022,7:00:00,20:00:00,13:00:00,Manhattan,Episodic Television series,10011
Shooting Permit,12/6/2022,7:00:00,23:00:00,16:00:00,Manhattan,Episodic Television series,"10010, 10016"
Shooting Permit,12/7/2022,9:00:00,22:00:00,13:00:00,Queens,Cable-episodic Television,11373
Shooting Permit,12/7/2022,6:00:00,20:00:00,14:00:00,Queens,Episodic Television series,"11237, 11385"
Shooting Permit,12/7/2022,17:00:00,9:00:00,16:00:00,Manhattan,Cable-episodic Television,"10007, 10013"
Shooting Permit,12/6/2022,7:00:00,23:00:00,16:00:00,Queens,Episodic Television series,11101
Shooting Permit,12/7/2022,8:00:00,22:00:00,14:00:00,Queens,Episodic Television series,"11101, 11378, 11435"
Shooting Permit,12/6/2022,6:00:00,23:00:00,17:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/7/2022,7:00:00,23:00:00,16:00:00,Queens,Episodic Television series,11101
Theater Load in and Load Outs,12/5/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,"10019, 10106"
Shooting Permit,12/7/2022,1:00:00,16:00:00,15:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/6/2022,7:00:00,22:00:00,15:00:00,Brooklyn,Cable-episodic Television,11222
Shooting Permit,12/5/2022,6:00:00,23:00:00,17:00:00,Manhattan,Cable-episodic Television,"10011, 10012, 10014"
Shooting Permit,12/7/2022,6:00:00,0:00:00,18:00:00,Manhattan,Episodic Television series,"10001, 10003, 10010"
Shooting Permit,12/5/2022,6:00:00,22:00:00,16:00:00,Manhattan,Episodic Television series,"10005, 10038"
Shooting Permit,12/6/2022,6:00:00,21:00:00,15:00:00,Manhattan,Episodic Television series,"10035, 10458"
Theater Load in and Load Outs,12/3/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,"10003, 10029"
Shooting Permit,12/6/2022,6:00:00,20:00:00,14:00:00,Brooklyn,Commercial,"11215, 11218, 11226"
Shooting Permit,12/6/2022,10:00:00,23:00:00,13:00:00,Queens,Episodic Television series,"11101, 11370, 11371, 11378"
Shooting Permit,12/6/2022,17:00:00,9:00:00,16:00:00,Manhattan,Cable-episodic Television,"10007, 10013"
Rigging Permit,12/5/2022,10:00:00,13:00:00,3:00:00,Manhattan,Episodic Television series,10011
Rigging Permit,12/5/2022,7:00:00,14:00:00,7:00:00,Manhattan,Episodic Television series,10011
Shooting Permit,12/5/2022,6:00:00,22:00:00,16:00:00,Manhattan,Episodic Television series,10011
Shooting Permit,12/5/2022,6:00:00,23:00:00,17:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/6/2022,6:00:00,23:00:00,17:00:00,Manhattan,Cable-episodic Television,"10007, 10013"
Shooting Permit,12/6/2022,7:00:00,20:00:00,13:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/6/2022,7:00:00,2:00:00,19:00:00,Manhattan,Episodic Television series,"10001, 10010, 10011"
Shooting Permit,12/5/2022,7:00:00,18:30:00,11:30:00,Manhattan,Cable-episodic Television,"10016, 10017"
Shooting Permit,12/5/2022,6:00:00,19:00:00,13:00:00,Brooklyn,Commercial,11237
Shooting Permit,12/6/2022,7:00:00,16:00:00,9:00:00,Manhattan,Reality Television,"10019, 10023, 10024, 10025"
Shooting Permit,12/7/2022,6:00:00,22:00:00,16:00:00,Brooklyn,Still Photography,11231
Shooting Permit,12/6/2022,7:00:00,22:00:00,15:00:00,Manhattan,Episodic Television series,"10065, 11222"
Theater Load in and Load Outs,12/5/2022,0:01:00,6:00:00,5:59:00,Manhattan,Theater,10023
Shooting Permit,12/7/2022,6:00:00,22:00:00,16:00:00,Brooklyn,Feature Film,"11201, 11215, 11218, 11232"
Shooting Permit,12/5/2022,7:00:00,19:00:00,12:00:00,Manhattan,Still Photography,"10023, 10024, 10025, 10029"
